name,lat,lon,alt
STARLINK-1008,-34.53742683817165,-132.8342759398228,554.2373412060842
STARLINK-1019,52.93933220307601,-3.3307121455645756,559.8911165083571
STARLINK-1030,53.05836000316873,0.1700887366478412,560.0935263803846
STARLINK-1011,-50.31618468788832,-147.07680840914873,558.5009908716374
STARLINK-1014,-52.95253365332738,133.0640419584107,398.8058944107559
STARLINK-1012,50.81892011392268,-35.818586548046085,559.2605765865673
STARLINK-1027,-50.76864121223216,127.9116886641732,272.7124313615955
STARLINK-1021,46.51935819778161,25.995175737885262,557.6205191670349
STARLINK-1043,41.46939920236587,-21.06023167389361,555.7021047047344
STARLINK-1042,32.92710850067541,-83.53307134818289,464.99231892271484
STARLINK-1029,40.893201302539545,-140.74246791089394,555.4949802012834
STARLINK-1046,-19.17702220552655,-78.14553485641227,549.2134388459099
STARLINK-1039,-48.0526713657871,-112.81629173813775,559.6911997960696
STARLINK-1047,-51.70507784926865,-164.60841764573954,508.7426529344863
STARLINK-1048,-12.557951652693738,86.95083825355607,548.2379695996884
STARLINK-1013,28.00688881795496,-79.3652293769531,551.4339619347428
STARLINK-1053,-3.9421091957141923,100.4986982430629,444.2852742007802
STARLINK-1054,2.93245391216927,114.54011747138378,546.7336925538685
STARLINK-1060,50.46071853726191,32.46797902667129,558.9611420313373
STARLINK-1031,4.795016040609226,-79.51133904686094,547.6561289980824
STARLINK-1098,-41.81356858060548,-81.15345969016471,556.8428448515463
STARLINK-1020,46.84241029897442,-29.51876626647669,558.1570184694705
STARLINK-1057,-4.709922964453886,100.57348227268625,546.8546974142373
STARLINK-1063,27.76946376536981,-39.13137174707066,551.5724383272733
STARLINK-1056,-12.91234569967406,126.56108023800175,548.5292953890829
STARLINK-1067,52.918406985111304,36.66672881302307,560.2025215979488
STARLINK-1112,-2.589604357933715,53.88076186355255,548.0207610428063
STARLINK-1068,26.765091278400906,74.9460027170031,551.5017909145043
STARLINK-1073,-0.10532107011237907,-10.3605355804753,202.30820709715096
STARLINK-1104,18.923531125037137,-137.9956199206705,549.0444841476735
STARLINK-1103,37.06301114275007,31.60289139248954,267.3941667726357
STARLINK-1106,40.8799445339289,50.47385305147526,287.3698780501438
STARLINK-1123,-28.366896012137687,-99.31738998359003,552.4294578195706
STARLINK-1114,-48.523476525997836,6.944469201928143,560.1915643963086
STARLINK-1144,40.470976916377886,-178.39887051309194,479.63624796452757
STARLINK-1130 (DARKSAT),-1.4425392353262492,-178.4659249968805,339.8345999372658
STARLINK-1079,47.83177977673797,26.61154920921416,394.852400676233
STARLINK-1094,29.943915465766818,-161.17995821171277,551.9630906577934
STARLINK-1071,47.16649136101371,90.6346442192663,557.9333654165769
STARLINK-1096,-5.0017910866706,-118.23412701826481,391.3294561818934
STARLINK-1122,20.672554169920787,53.38580857396053,549.4739621629219
STARLINK-1109,5.294849539805703,-24.954015945933065,309.308367002844
STARLINK-1117,48.51831160670891,128.0442964012483,332.85987943530927
