OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1104,2020-001J,2025-04-20T16:35:33.523872,15.06396399,.0001639,53.0569,356.6177,87.2734,272.8442,0,U,44922,999,29116,.85341E-4,.99E-5,0
STARLINK-1106,2020-001K,2025-04-20T14:30:23.524416,16.00081192,.0006694,52.9942,210.3357,329.7652,30.2989,0,U,44923,999,29319,.92958E-3,.488575E-2,.1147E-3
STARLINK-1112,2020-001M,2025-04-20T22:04:39.370368,15.06387273,.0001844,53.0571,355.5899,121.3068,238.8102,0,U,44925,999,29119,-.49641E-4,-.1021E-4,0
STARLINK-1114,2020-001P,2025-04-18T22:34:22.724256,15.06377863,.0001371,53.0556,4.4702,111.1897,248.9238,0,U,44927,999,29090,-.68967E-4,-.1308E-4,0
STARLINK-1123,2020-001S,2025-04-20T16:19:37.315200,15.06423830,.0001217,53.0546,356.6637,90.2892,269.8236,0,U,44930,999,29116,.12622E-2,.18581E-3,0
STARLINK-1130 (DARKSAT),2020-001U,2025-04-20T20:07:24.995136,15.76115213,.0002531,53.0447,300.1794,197.2649,162.8285,0,U,44932,999,29320,.71253E-3,.114417E-2,0
STARLINK-1144,2020-001V,2025-04-20T15:21:14.388768,15.29070401,.0011625,53.0575,340.8979,132.2706,227.9281,0,U,44933,999,29267,.15914E-2,.45529E-3,0
STARLINK-1071,2020-001W,2025-04-20T15:23:53.395008,15.06412828,.0001234,53.0554,336.8373,101.2619,258.8509,0,U,44934,999,29143,.45818E-3,.6552E-4,0
STARLINK-1079,2020-001Z,2025-04-20T22:00:01.999584,15.62076292,.000245,53.0377,271.0558,273.5311,72.8884,0,U,44937,999,590,.25463E-2,.233204E-2,0
STARLINK-1091,2020-001AC,2025-04-19T16:13:15.543840,15.06408652,.0001305,53.0559,341.1645,101.9961,258.1174,0,U,44940,999,29128,.17085E-3,.2265E-4,0
STARLINK-1094,2020-001AD,2025-04-19T00:49:40.552032,15.06419009,.0001535,53.0560,344.0494,78.6701,281.4460,0,U,44941,999,29119,.17771E-3,.2368E-4,0
STARLINK-1096,2020-001AE,2025-04-20T11:34:34.407552,15.58585047,.0001361,53.0004,185.0835,44.6911,315.4210,0,U,44942,999,29354,.6917E-3,.53818E-3,0
STARLINK-1109,2020-001AH,2025-04-20T22:00:01.999584,15.87756538,.0004402,53.0414,270.7605,265.7147,348.9188,0,U,44945,999,589,.11388E-2,.323348E-2,0
STARLINK-1122,2020-001AM,2025-04-20T15:34:30.782496,15.06390642,.0001182,53.0550,336.8047,85.5750,274.5374,0,U,44949,999,29143,.25823E-4,.103E-5,0
STARLINK-1117,2020-001AQ,2025-04-20T22:00:01.999584,15.83948374,.0005048,53.0426,305.1206,229.4328,134.2268,0,U,44952,999,609,.12817E-2,.301939E-2,0
STARLINK-1066,2020-001AS,2025-04-20T14:17:33.065376,15.06388498,.0001107,53.0552,317.0450,92.4233,267.6882,0,U,44954,999,29165,.95616E-4,.1143E-4,0
STARLINK-1080,2020-001AZ,2025-04-18T23:43:21.688608,15.06391201,.000139,53.0550,324.2607,94.6596,265.4551,0,U,44961,999,29147,-.32745E-4,-.769E-5,0
STARLINK-1088,2020-001BE,2025-04-20T15:56:41.003808,16.32419098,.0007084,53.0391,165.1122,335.7811,165.3074,0,U,44966,999,29386,.63151E-3,.3768556E-1,.12183E-4
